gene_name,logFC,P.Value,,,,
CFL1,0.326126789,0.009554571,,,,
CEP57,0.632754734,0.011953604,,,,
TSNARE1,-0.66292722,0.023829247,,,,
AGA,0.533102995,0.017098585,,,,
IGDCC3,-1.390248288,0.029418184,,,,
NLGN4Y,-1.386224741,0.019788821,,,,
OSBPL9,0.364671063,0.010278808,,,,
,-1.079708829,0.022388958,,,,
ZCWPW1,0.844876519,0.024918204,,,,
MCFD2,0.301290648,0.009558379,,,,
GNL2,0.367068706,0.011155887,,,,
ZNF593,0.681411423,0.021015206,,,,
LTBP1,0.494631,0.009551162,,,,
BEX4,0.389723686,0.011758078,,,,
,-2.345063997,0.030888554,,,,
WASH9P,0.651536248,0.020422131,,,,
YY1AP1,0.326655572,0.012012644,,,,
BAIAP2,-0.62904203,0.015625152,,,,
MRPL55,0.484696964,0.016435593,,,,
ASCC3,0.383670562,0.010376431,,,,
CCDC112,-1.259942761,0.02043845,,,,
HADHA,0.359836127,0.010001632,,,,
TLE6,-1.155771282,0.030177993,,,,
FOXN2,-0.912818118,0.020703775,,,,
ACYP1,-0.711721501,0.025351442,,,,
RSPRY1,0.372069609,0.011497782,,,,
PTPN2,0.517843404,0.015707813,,,,
C1QL4,-2.205257641,0.033030038,,,,
MON1B,0.375126006,0.011616737,,,,
,2.1425247,0.032954816,,,,
RPL13,0.440640832,0.009654547,,,,
PDGFRL,0.595599196,0.011365853,,,,
ARHGAP22,-1.900156758,0.032340657,,,,
EVC2,1.050213754,0.017978974,,,,
SLC2A6,-0.874320166,0.026323023,,,,
PSAP,0.281784588,0.009256556,,,,
SLC18A2,2.088090436,0.032961334,,,,
LAMP3,-1.146858866,0.031166978,,,,
INTS13,0.432189132,0.014181374,,,,
RNF11,0.305752939,0.010408843,,,,
PDE7B,1.061254151,0.014002227,,,,
DNM3,-0.93591474,0.02044478,,,,
TBC1D23,0.329571263,0.011289689,,,,
TOM1,0.350536602,0.012008883,,,,
PSMC1,0.465545471,0.010909525,,,,
PRTG,0.842130415,0.014901758,,,,
GNA14,1.076641777,0.019672391,,,,
C3orf33,-0.930722512,0.028888128,,,,
GLIPR1,-0.563230447,0.010309891,,,,
CCDC74A,1.340004811,0.033671289,,,,
SNRNP25,0.570496333,0.016341466,,,,
EMSY,0.432524117,0.013568378,,,,
UBN2,0.73246324,0.014045574,,,,
SNX14,0.377498713,0.010993062,,,,
TSHZ3,0.709347351,0.02257333,,,,
EN2,-2.527066997,0.034012955,,,,
STRAP,0.256196354,0.010279592,,,,
UQCR10,0.436578156,0.013245768,,,,
DLX5,-1.785935794,0.033478429,,,,
LINGO3,2.208926138,0.034318031,,,,
RPS18,0.451823418,0.009774788,,,,
NAIPP3,4.763495862,0.024618063,,,,
NAIPP1,4.763495862,0.024618063,,,,
SPAG8,1.71379479,0.034564142,,,,
SLC22A4,-0.551818312,0.020791182,,,,
GALC,0.903295242,0.011088436,,,,
TDRD7,0.754941249,0.015622386,,,,
,-1.513335676,0.033403168,,,,
HAND2,2.326068596,0.030698508,,,,
NIM1K,0.821118302,0.028072777,,,,
KLHL7,0.538297522,0.01168254,,,,
SYTL5,1.583259058,0.027830406,,,,
MCCC2,0.646074797,0.012656758,,,,
METTL23,0.469080157,0.016457014,,,,
,-1.626559754,0.034622113,,,,
NUDT7,-1.293184208,0.034070995,,,,
TEX9,-0.947667711,0.024648228,,,,
GXYLT2,0.682062254,0.009407425,,,,
SIM2,-1.871227787,0.034610184,,,,
ADAL,0.525370673,0.019137825,,,,
SEC14L5,1.433841066,0.035128949,,,,
TYK2,0.398310947,0.011834173,,,,
CYP4F25P,3.442431093,0.026989552,,,,
MAP3K13,-0.434056377,0.01579771,,,,
EEPD1,0.840399003,0.027613752,,,,
CTBP2P9,2.818593304,0.028034618,,,,
CTBP2P10,2.818593304,0.028034618,,,,
DNAJC13,0.479456705,0.011541116,,,,
ABCG1,-0.759628503,0.023685934,,,,
SDHD,0.460688962,0.013621404,,,,
MAZ,0.421879093,0.011161138,,,,
PTGFRN,0.476162708,0.010064545,,,,
AFP,-5.632787804,0.035436604,,,,
MAP1A,0.607785456,0.010492457,,,,
TDP2,0.501328596,0.014359214,,,,
ARF6,0.389299772,0.011634626,,,,
METTL15,0.543470077,0.01708099,,,,
SNAPIN,0.632098531,0.016865085,,,,
BTAF1,0.435823854,0.011217737,,,,
NFATC2IP,-0.376577134,0.014066442,,,,
HERC2,0.520518527,0.01154897,,,,
PLD5P1,1.519966799,0.035783739,,,,
PLCB4,0.759069235,0.013376306,,,,
ATCAY,0.559678117,0.022470081,,,,
NPY1R,1.837320437,0.030753937,,,,
ZDHHC5,0.378583506,0.010908029,,,,
DHX35,-0.623065687,0.021213808,,,,
FOXD4,-3.092626152,0.021811634,,,,
SGCA,1.120161642,0.027460825,,,,
RAB26,-1.098722498,0.022421108,,,,
THUMPD3,0.367256607,0.013371189,,,,
PDS5A,0.480256696,0.011777581,,,,
PEX11A,0.607121824,0.02149116,,,,
MARCKS,0.485275885,0.010512005,,,,
ST6GALNAC2,1.168705798,0.033052374,,,,
TMEM106B,-0.617844211,0.011623325,,,,
TNRC18,0.395591065,0.010994694,,,,
RPL23AP49,1.454887585,0.032445245,,,,
AP5S1,0.484129148,0.020278617,,,,
STX5,0.378673034,0.012791348,,,,
BANK1,2.23378029,0.036322267,,,,
METTL9,0.368451626,0.011906935,,,,
ENPEP,1.681649833,0.036850371,,,,
CENPW,1.327055778,0.036708004,,,,
RAB11FIP1,-0.519795028,0.012656999,,,,
GSTA1,-0.56926354,0.014732394,,,,
THSD1,-0.724101425,0.028138598,,,,
GSTM1,3.568717191,0.036807407,,,,
,1.796055817,0.035991765,,,,
CICP14,-0.585642648,0.02128225,,,,
LSM1,0.456372673,0.015878305,,,,
CMTM8,0.987454746,0.030071885,,,,
ELF4,-0.511378937,0.014848153,,,,
,1.976358197,0.033527192,,,,
TTC16,1.730996123,0.03722076,,,,
GAD2,-2.23080874,0.034875646,,,,
BOD1,0.429742329,0.013358803,,,,
SLC5A4,2.035000116,0.022837382,,,,
HDAC9,-1.209330079,0.018256557,,,,
TSPAN1,-2.101920088,0.036802536,,,,
RABEP1,0.473704192,0.012015368,,,,
PPIF,-0.615599141,0.014174603,,,,
BEND3P3,-0.806872955,0.031096924,,,,
KCNJ6,1.263174783,0.028165703,,,,
CFI,0.613245274,0.010963788,,,,
FZD6,0.53330632,0.010754786,,,,
PDCD6IP,0.338606395,0.011365115,,,,
DIMT1,0.648209196,0.017217249,,,,
SNX30,0.417297947,0.012949622,,,,
NXPH2,-1.128089435,0.036350709,,,,
YBX1P1,-1.828814555,0.035110425,,,,
IL1RAPL1,2.140729886,0.03676669,,,,
TBL2,0.363334773,0.01206412,,,,
TTC37,0.568350147,0.011877446,,,,
FOXC2,1.942760002,0.034247276,,,,
KLF11,-0.509444841,0.020504516,,,,
LINC00672,-1.233887701,0.034594818,,,,
STRBP,-0.643196814,0.017958854,,,,
,1.757258752,0.038383638,,,,
PCDHA9,-1.170831582,0.028492832,,,,
DMGDH,-1.884418313,0.038842609,,,,
ATF1,0.410553923,0.018645937,,,,
TTC21B,0.535465488,0.015377635,,,,
UBFD1,0.40785271,0.011440543,,,,
WDR55,0.366542288,0.014991121,,,,
CDK14,0.452176181,0.014636456,,,,
SAPCD2,0.930979535,0.030055938,,,,
TPTEP2-CSNK1E,-0.667148569,0.019572724,,,,
CWC15,0.461164777,0.014580568,,,,
FMR1,0.373299468,0.013130122,,,,
SCAMP2,0.359571224,0.012304558,,,,
ASB1,0.398172918,0.013022856,,,,
SCP2,0.385816504,0.012706467,,,,
MRPL14,0.623396133,0.017141561,,,,
SEPHS1,0.351743571,0.014083487,,,,
NKX6-1,1.487202448,0.03248652,,,,
UBE4B,0.332099681,0.012548456,,,,
MID1,0.460206868,0.014322248,,,,
N4BP3,-1.184719888,0.028460993,,,,
OTUD4,0.415384802,0.013431607,,,,
SSC4D,-1.255181795,0.024385153,,,,
ABLIM2,-1.586286233,0.039246503,,,,
CSGALNACT2,0.326731217,0.012737856,,,,
SMN1,1.557704816,0.028585057,,,,
HIC1,0.776971075,0.015694845,,,,
DNAJB9,0.348899126,0.011969391,,,,
SLC47A1,1.185377281,0.03439393,,,,
RNASET2,0.483675983,0.016634713,,,,
DVL2,0.399623137,0.013998811,,,,
ZNF775,0.578296516,0.02648931,,,,
CAMK2B,-2.265042113,0.039607424,,,,
TBC1D10B,0.352054944,0.013559392,,,,
PDP2,0.490153744,0.017931291,,,,
,2.950398583,0.029678541,,,,
EFNB1,-0.55940966,0.014125122,,,,
ALYREF,0.495137009,0.016569784,,,,
SCAF8,0.377072161,0.012958197,,,,
C5orf49,2.923209098,0.033076681,,,,
KIAA1755,1.32317663,0.02507847,,,,
AMZ2,0.410275289,0.013386259,,,,
JDP2,0.658939468,0.014116482,,,,
TOB2,0.320675751,0.013045494,,,,
PODXL,0.480068796,0.012944442,,,,
LSM12,0.38495989,0.014176689,,,,
SMIM29,0.627761554,0.025551001,,,,
CCN4,1.867625373,0.02733591,,,,
RER1,0.269711828,0.011792439,,,,
USP39,0.369785928,0.014517318,,,,
KCTD3,0.378151182,0.013919612,,,,
SRD5A1,-0.529174956,0.017088924,,,,
GRM5,-2.78043488,0.034640622,,,,
ANKRD20A5P,-2.459600473,0.031966705,,,,
STK17A,0.357455887,0.014540662,,,,
BTG2,-0.55928057,0.01401766,,,,
FREM3,-1.15537366,0.032600283,,,,
PCDH9,-0.88918219,0.015774189,,,,
HCN3,-0.992731883,0.026855339,,,,
LRRC37A2,0.384718363,0.01420471,,,,
ZNF749,-0.678259364,0.025479698,,,,
OR2L13,1.436093799,0.040058769,,,,
RPS2,0.637291884,0.011124501,,,,
VPS26B,0.397767548,0.012903659,,,,
KLHDC2,0.415737316,0.014184976,,,,
FHIP2A,0.395955481,0.013607558,,,,
TMOD2,1.090353012,0.014546286,,,,
CREBBP,0.326868885,0.01260603,,,,
CMKLR2,-2.646884928,0.036075826,,,,
SMARCD2,0.369100976,0.014104007,,,,
PAX8,-2.866285977,0.030139104,,,,
TAFA1,-3.271986361,0.025389714,,,,
MPC1,0.464280176,0.021123439,,,,
EFNB3,-0.582517368,0.017036074,,,,
SIL1,0.353336302,0.012717101,,,,
DKC1,0.376826535,0.014755011,,,,
TRAF4,0.334597795,0.012964552,,,,
WRAP53,-0.62557231,0.025729752,,,,
CEP162,0.816347068,0.031372794,,,,
SPRYD4,-0.532747906,0.025756536,,,,
VAV2,-0.479555029,0.01502497,,,,
TMPRSS2,0.877063871,0.036813255,,,,
COG4,0.354157204,0.01399317,,,,
CAB39L,0.45628909,0.017635057,,,,
CRMP1,-0.502226947,0.013565971,,,,
PLEKHM1P1,-0.784901853,0.027293634,,,,
GRM7,1.694959924,0.04237662,,,,
TCN1,0.729352729,0.029859123,,,,
MID1IP1,0.408749755,0.016202531,,,,
WDR61,0.518255041,0.015004168,,,,
PLEKHG4,-1.473916076,0.036928989,,,,
PFKFB2,0.493228709,0.01573377,,,,
PARP15,2.306212618,0.042006039,,,,
SLC7A11,-0.842107927,0.018239818,,,,
RPL11,0.378805191,0.011693824,,,,
MYG1,0.466738885,0.019355196,,,,
NEXN,0.56096428,0.015118713,,,,
KIAA0319,-1.643152582,0.042704102,,,,
PLEKHA3,0.436462346,0.016064333,,,,
ANKIB1,0.3943376,0.012941862,,,,
VPS45,0.365147672,0.015377396,,,,
TMEM273,-3.434381829,0.024813732,,,,
CLEC1B,-3.240275584,0.041059125,,,,
FAM110D,-1.7182307,0.042807286,,,,
ZNF818P,0.996062929,0.03493478,,,,
SLFN12,0.496271841,0.019961824,,,,
ATP2C2,1.1941302,0.041170359,,,,
MSTN,3.699453826,0.031403169,,,,
ZBTB45P1,-1.173786364,0.041184627,,,,
THEMIS2,-1.347935593,0.042801146,,,,
FADD,0.506896662,0.016187568,,,,
HFE,0.700888977,0.020968298,,,,
LYSMD2,0.911116086,0.034807601,,,,
ABCG2,2.244890835,0.042872569,,,,
NIPAL1,0.775775018,0.025302247,,,,
CDKN2C,1.013337873,0.040483406,,,,
MRPS34,0.446939495,0.016415386,,,,
ADAM33,-0.844453157,0.025048489,,,,
SCAMP5,-0.553873689,0.015520373,,,,
CLEC18A,1.320898242,0.033862016,,,,
DYNC2I2,0.515470479,0.020163554,,,,
NEK5,0.876195246,0.030652147,,,,
MTMR7,-0.765770333,0.030515234,,,,
ANKRD20A2P,3.937642498,0.039816126,,,,
,-3.015697659,0.038070975,,,,
MOB2,0.473424205,0.019897342,,,,
OTX1,1.078887128,0.038340546,,,,
RCAN2,0.78782574,0.026510466,,,,
SLC10A7,0.598285768,0.023393073,,,,
PHYHIP,-0.574391352,0.016763927,,,,
ZKSCAN2,0.426925085,0.019310799,,,,
SIAH2,0.393235535,0.017100526,,,,
ITPK1,0.631231373,0.023509128,,,,
PTRHD1,0.6334127,0.026954418,,,,
SGO2,1.097365146,0.036317485,,,,
ALOX12B,-1.84576033,0.044671699,,,,
CCDC124,0.356391061,0.014667354,,,,
WDR88,-1.328744617,0.044610168,,,,
LRRC71,2.645402881,0.041554189,,,,
KIAA1522,-0.504301204,0.013395639,,,,
CHD6,0.338867642,0.012935984,,,,
DLX6,-2.292097685,0.044954428,,,,
FAM210A,0.589169028,0.019586161,,,,
PIM2,0.742885228,0.023994012,,,,
ARFIP2,-0.331383907,0.015125987,,,,
NEIL3,2.758894629,0.040484267,,,,
IFRD1,0.451224264,0.013456399,,,,
NDST4,-2.758901384,0.037049582,,,,
CEP63,0.424325556,0.017361941,,,,
SLC45A4,0.398878742,0.01980574,,,,
TM4SF18,0.69596173,0.035018289,,,,
SYPL2,-1.129949528,0.045614783,,,,
XKR9,-2.104388138,0.042183518,,,,
HNRNPK,0.37328313,0.012253932,,,,
PLK2,0.391211934,0.012961927,,,,
ATP10A,-0.453804216,0.02222665,,,,
H4C14,-2.985866368,0.03869688,,,,
NEFH,-0.472671844,0.020959041,,,,
RPL37A,0.3638257,0.012241399,,,,
FECH,0.403686091,0.017101241,,,,
SMG1P4,-2.596186895,0.045609182,,,,
SMPDL3B,-0.798042578,0.029445827,,,,
EOMES,-4.145789426,0.029188463,,,,
MTF2,0.382661615,0.016510261,,,,
AK1,0.454983413,0.017021906,,,,
CD34,-1.508632653,0.046521364,,,,
EIF2B1,0.394371726,0.01616727,,,,
LFNG,-1.181644965,0.029883523,,,,
LUM,1.076321106,0.012098665,,,,
GUSBP13,1.048513989,0.043743599,,,,
CHRFAM7A,-1.901378531,0.045979301,,,,
TESK2,1.027578653,0.031915985,,,,
P2RX2,3.31923361,0.033167574,,,,
,1.074168152,0.028096118,,,,
AVEN,0.586295937,0.022939556,,,,
INPP1,0.725855105,0.026505084,,,,
,1.861040931,0.045856146,,,,
GRN,0.384969592,0.012737281,,,,
RPS10-NUDT3,1.177743661,0.028844647,,,,
NCAM2,0.953688265,0.02176846,,,,
DOC2A,-1.693981094,0.047049166,,,,
MAP7,-0.651467957,0.025260823,,,,
PCDH20,-1.229170032,0.044115873,,,,
CHDH,1.214913086,0.042533107,,,,
ISG20,0.711741295,0.032245968,,,,
TSPAN15,-0.988108848,0.033399971,,,,
DGKK,2.798644185,0.04426802,,,,
IP6K3,-2.687429556,0.035899489,,,,
TMEM191B,-2.047343515,0.04781721,,,,
ADRA2B,-2.248007082,0.046573689,,,,
ANKRD20A7P,-3.58311743,0.038368679,,,,
CCNB1IP1,-0.482878459,0.019959914,,,,
GSX1,-5.447131816,0.027162225,,,,
FBN1,0.68694022,0.011988548,,,,
SPAG4,-0.949973747,0.034142262,,,,
,5.478306617,0.046124154,,,,
INPP5K,0.403176634,0.017961424,,,,
FRMD6,0.405353529,0.013341654,,,,
PTPN1,0.271060959,0.014080637,,,,
KCNMB3,1.329682194,0.046632988,,,,
TIAL1,0.32961042,0.01403377,,,,
B4GALNT2,0.615861273,0.026333016,,,,
SMBD1P,-1.05370546,0.045524662,,,,
IWS1,0.371006166,0.014857992,,,,
DUSP4,-0.411292779,0.015019171,,,,
CTDNEP1,0.376797834,0.01683879,,,,
NBPF26,0.591054532,0.016605516,,,,
PPP2R2C,-1.289024281,0.045274318,,,,
HDAC5,0.390922241,0.016793428,,,,
MGST3,0.377219786,0.015530274,,,,
ADGRB1,-1.658536603,0.041456985,,,,
QSER1,0.485193752,0.016819616,,,,
ARHGAP26,0.424052623,0.018851943,,,,
CEP44,0.626975895,0.022299871,,,,
TBC1D30,-1.381875824,0.042950655,,,,
ADGRL4,0.541354597,0.022986488,,,,
GNPAT,0.428574852,0.016575853,,,,
FAP,0.940480517,0.028609323,,,,
KCNJ3,-1.889924029,0.048623444,,,,
TOX,0.701700091,0.026832775,,,,
GNG12,0.377905628,0.013206265,,,,
ZNF511,0.51407811,0.026792743,,,,
SOX7,-2.700454722,0.046895164,,,,
PHC1,0.364770493,0.017304545,,,,
KCNN1,-1.000804634,0.032587586,,,,
ZNF589,0.448801302,0.022051064,,,,
SLC41A1,0.307365557,0.014158283,,,,
PDE6D,0.615932785,0.022550666,,,,
ACKR3,-0.623103855,0.017175578,,,,
BBS12,0.585093051,0.028110575,,,,
RHOT1,0.389904924,0.016437944,,,,
SPIN3,-0.463554468,0.020558127,,,,
COL5A2,1.170082038,0.013022814,,,,
TEKT3,2.460409455,0.047123448,,,,
ZNF169,-0.758931387,0.037602182,,,,
ST8SIA5,0.951436382,0.021155851,,,,
ERICH1,0.499898949,0.02105478,,,,
AQP1,-1.358256434,0.014146957,,,,
ZNF865,0.65085676,0.019915497,,,,
BUD31,0.410440907,0.016029167,,,,
CNOT2,0.334067076,0.015841844,,,,
DYNLL2,-0.352844059,0.014737577,,,,
C16orf86,-1.514602412,0.0496246,,,,
ATP11B,0.460635835,0.015250661,,,,
OTOGL,1.446027472,0.033253325,,,,
EFCC1,2.460706816,0.04859931,,,,
ADRA2C,0.814438062,0.033768725,,,,
SOWAHA,1.924091867,0.050168,,,,
CDH26,1.528607511,0.050149318,,,,
EIF4EBP2,0.335262307,0.013761069,,,,
SYTL1,-1.558899585,0.04974554,,,,
SYCP2,1.036571742,0.047445246,,,,
ICE1,0.466306217,0.016065965,,,,
FAM220A,0.425671342,0.025672145,,,,
ANKRD33B,-0.817917227,0.027097455,,,,
FAM114A2,0.366649106,0.016919319,,,,
MEFV,-1.645053901,0.047627277,,,,
DCX,-1.341916673,0.035902105,,,,
SLC1A7,-1.689572182,0.05095434,,,,
SLC30A7,0.331111216,0.015388308,,,,
,0.775762218,0.041073903,,,,
LCP1,1.020766047,0.033468434,,,,
,1.159763119,0.045060398,,,,
NSD1,0.306242698,0.014239542,,,,
PPP1R1A,0.836127092,0.038785276,,,,
RBFOX1,-1.422255762,0.040427762,,,,
MUC16,1.943146273,0.051385796,,,,
TWF2,0.564528326,0.017590464,,,,
PRKXP1,-2.388704001,0.043892435,,,,
ROPN1B,2.051966901,0.050713436,,,,
RPL12P10,-0.65799585,0.04165374,,,,
KCNJ13,2.297433924,0.051773977,,,,
GET1,0.344760592,0.017304057,,,,
TNFSF9,-1.17986466,0.044407897,,,,
PAQR8,0.916407083,0.024183593,,,,
TRA2A,0.353231436,0.015643497,,,,
ERVFRD-1,2.874637716,0.043837385,,,,
ELL2,0.454108013,0.015135343,,,,
CCDC9,0.342218219,0.017778953,,,,
TRRAP,0.33482455,0.014512196,,,,
FCHO2,0.593564299,0.025147095,,,,
HEPHL1,-1.804985299,0.052307297,,,,
OCRL,0.305367643,0.015057153,,,,
RBL2,0.301332965,0.015427995,,,,
TP53INP1,0.358045477,0.015115841,,,,
PTPRC,1.889355033,0.052593185,,,,
WNT7A,-4.662127343,0.047711821,,,,
SF3B1,0.370973965,0.013541746,,,,
,1.42342737,0.05254926,,,,
PMM1,0.433983879,0.021356025,,,,
ADORA2A,1.940728113,0.051168183,,,,
EPSTI1,1.374301857,0.039712121,,,,
IL23A,1.40814079,0.051241783,,,,
DNAJC12,1.20370652,0.048722151,,,,
NLRX1,0.621378121,0.022216629,,,,
GPR156,-0.867409266,0.043619961,,,,
MCU,0.585647266,0.018638776,,,,
DAPK3,0.360504246,0.015067609,,,,
KCNT2,1.109054834,0.032789903,,,,
DNAH11,1.082008188,0.043101938,,,,
MIA3,0.514479325,0.014413614,,,,
LHX1,-3.056871915,0.051468234,,,,
BCAS4,-0.577861886,0.029293349,,,,
ARPP21,1.644512536,0.053034177,,,,
HNRNPL,0.42718432,0.014616173,,,,
UBXN6,0.35870075,0.015577491,,,,
CRY1,0.383311589,0.018592945,,,,
CTNND1,0.419983812,0.013702014,,,,
CACNG3,2.664447778,0.049316658,,,,
CDHR2,-1.312024396,0.049091839,,,,
RAP1B,0.330109609,0.014411097,,,,
ZFYVE28,-0.69733475,0.040809532,,,,
C17orf80,0.429863364,0.020438847,,,,
,-2.426660799,0.050961835,,,,
CLPTM1,0.276917009,0.014226293,,,,
POLR2L,0.465382122,0.017901231,,,,
CERS5,-0.31279898,0.015010473,,,,
GRID1,1.030898499,0.048525728,,,,
SLC25A5,0.464343266,0.015156737,,,,
RANGAP1,-0.506992634,0.016162536,,,,
DTX3,-0.443145011,0.02188859,,,,
GPR149,-3.632997175,0.035500566,,,,
NF1,0.353111764,0.014691269,,,,
MRPS24,0.510241937,0.02225054,,,,
MTMR10,0.424007281,0.021508355,,,,
BSN,-0.797173038,0.030366956,,,,
EOGT,0.40534907,0.016070704,,,,
MEPCE,0.45950022,0.018503489,,,,
CHCHD4,0.608757687,0.031146931,,,,
TLL2,0.489082574,0.028086575,,,,
CSF1R,1.194732823,0.051900997,,,,
ZMYND8,0.296469916,0.016385975,,,,
WHAMMP3,0.92108259,0.049951136,,,,
GLRX3,0.414028851,0.016875446,,,,
SP100,0.544107699,0.021869907,,,,
,-1.500097303,0.05469002,,,,
PCDHGC4,-1.943316736,0.040363816,,,,
DYNLRB1,0.337941628,0.01662966,,,,
,3.862476172,0.055066908,,,,
,-2.077035971,0.044600132,,,,
SMTNL2,1.341308032,0.050775605,,,,
HHIP,0.994910865,0.046242431,,,,
RPL34,0.430687536,0.014756421,,,,
KLHDC1,1.151394389,0.046483108,,,,
NR4A3,0.425305101,0.017805195,,,,
PPIP5K2,0.538438627,0.017299023,,,,
ZMYND15,-2.271195618,0.051815049,,,,
DCBLD1,0.46097454,0.017780112,,,,
SEMA4G,-0.666266778,0.020272424,,,,
KCTD15,0.371531318,0.018881359,,,,
RTN4RL2,-1.43270771,0.04721144,,,,
SCHIP1,0.846023706,0.021517391,,,,
SACM1L,0.324224443,0.016926038,,,,
ZIC5,1.11149807,0.042304688,,,,
CYREN,0.636469554,0.023494321,,,,
ELOVL2,-1.106209964,0.047320906,,,,
RPS23,0.383327208,0.013955751,,,,
MAP3K7,0.33222749,0.016093641,,,,
GTF2IRD2B,0.519590972,0.024772298,,,,
EME2,-0.586784242,0.022013944,,,,
SLC25A10,0.515933742,0.027446451,,,,
CNGA3,-3.707209575,0.04210612,,,,
RNF5,-1.482538411,0.032730182,,,,
AFF3,0.624348317,0.029229252,,,,
,3.008154444,0.054940059,,,,
GMPPA,0.321970238,0.017594881,,,,
AGGF1,0.410748545,0.019621664,,,,
CENPN,0.74118204,0.031822516,,,,
,1.165297165,0.044205154,,,,
CLCF1,-0.512273041,0.020812259,,,,
UNC45A,0.311570493,0.016176988,,,,
CRB2,1.864499983,0.052988679,,,,
ST3GAL2,0.438732147,0.01667975,,,,
CTRL,-1.859030416,0.053088378,,,,
HNRNPU,0.32596018,0.014137092,,,,
CCDC87,1.481139733,0.056420983,,,,
B3GNT2,0.599854148,0.020812473,,,,
ADH5,0.496939645,0.015454995,,,,
HMGXB3,0.335041874,0.015684045,,,,
ECRG4,1.108969685,0.047581734,,,,
ZBTB8A,-0.495631914,0.026740105,,,,
GPR82,-2.305292329,0.046447255,,,,
CYP4A11,-2.978759536,0.042145071,,,,
ISG15,0.950570043,0.022151377,,,,
MAFA,2.545373712,0.055190992,,,,
TBR1,-5.602049986,0.051561908,,,,
STAU1,0.272784808,0.015184498,,,,
SKP2,0.557433474,0.020865442,,,,
GOLGA8H,-1.073748601,0.048102485,,,,
ERLIN1,0.464234636,0.016351496,,,,
UNK,0.367401231,0.019859023,,,,
KIAA1614,-0.791988915,0.050138815,,,,
BIRC3,1.10160486,0.045191697,,,,
OTULIN,0.409621802,0.01903411,,,,
CMPK2,-1.681763425,0.046295295,,,,
RPL31P46,-1.917508643,0.055876163,,,,
IFITM2,0.533250858,0.023730912,,,,
PCYOX1L,0.371210081,0.018303424,,,,
COA7,-0.615632355,0.025968491,,,,
RPS15A,0.378505157,0.014509374,,,,
ZNF826P,-2.128112862,0.055836221,,,,
PPP6R3,0.396540398,0.015760081,,,,
SERF1A,2.648470133,0.054354766,,,,
TRIB3,-0.702261879,0.018825831,,,,
MTHFS,0.684560461,0.03717188,,,,
AKIRIN1,0.309201648,0.015357187,,,,
PSMF1,0.314037214,0.01683446,,,,
NPM2,-2.321110628,0.055524273,,,,
NAGLU,0.358309317,0.016943295,,,,
C1orf226,0.569026467,0.029793748,,,,
PHF5A,0.47754917,0.026656752,,,,
AIFM1,0.455448215,0.018388092,,,,
H2BC5,-0.686639734,0.031052447,,,,
TSPAN32,1.965192161,0.057758831,,,,
RBM46,2.190987104,0.057346635,,,,
RAB6A,0.270117023,0.014999803,,,,
CFAP276,-3.172365311,0.045097971,,,,
CTDSPL2,0.334437325,0.018722774,,,,
GABARAPL1,0.343271613,0.015138908,,,,
CATSPERE,-1.982651233,0.05631952,,,,
PALLD,0.353323008,0.014466396,,,,
GEMIN5,0.433867573,0.020683695,,,,
RB1,0.433462635,0.0171728,,,,
POLR2I,0.642787527,0.030230945,,,,
STAT2,0.52731333,0.015512574,,,,
SAGSIN1,0.428181822,0.029130214,,,,
BNIPL,1.341795171,0.053162879,,,,
IGSF8,-0.537755686,0.016161238,,,,
BDKRB1,1.327280656,0.054001375,,,,
PKP2,0.67213491,0.023158542,,,,
HJURP,1.539527441,0.052844962,,,,
ADAMTS10,-0.65198634,0.020988557,,,,
,-3.180837844,0.048920642,,,,
GPR21,-5.456174412,0.044315831,,,,
MACROH2A2,-0.401252603,0.019731092,,,,
STX12,0.50954452,0.017365345,,,,
MCTP2,0.640942351,0.013586934,,,,
CASP1,1.043501164,0.057818567,,,,
GNA13,0.391358643,0.017011638,,,,
DMRT3,-4.434633949,0.042866128,,,,
ZIC2,1.067024527,0.031819825,,,,
WSCD1,1.190116741,0.027212122,,,,
ICAM5,1.120431192,0.054341718,,,,
SCD5,-1.383714357,0.018699948,,,,
ASRGL1,-0.639227312,0.037534004,,,,
KCNA1,-1.310465757,0.050484639,,,,
ATP6V0A1,-0.375935105,0.015893084,,,,
SOD2,0.642711868,0.01612293,,,,
SMIM1,1.064845799,0.050511898,,,,
ATM,0.61135182,0.01699618,,,,
RELN,1.483865416,0.022865322,,,,
GHDC,-1.215829549,0.053370735,,,,
RPL15,0.361033775,0.014430972,,,,
KCNH1,-1.110292504,0.026171056,,,,
EIF2B4,0.40867908,0.019458687,,,,
OAZ1,0.323793694,0.015100736,,,,
GTSE1,0.988790635,0.046906839,,,,
NDOR1,-0.528255995,0.024841418,,,,
STUM,-1.890575066,0.060202557,,,,
EIF2AK1,0.31386512,0.015798068,,,,
,0.753402343,0.023108318,,,,
TMEM203,0.399125884,0.02232472,,,,
STXBP4,0.635591061,0.02952333,,,,
ACLY,0.405539879,0.014811982,,,,
C2orf72,0.657013121,0.031880925,,,,
RAB20,0.881757251,0.031428998,,,,
GADD45G,-1.337494418,0.058607109,,,,
HOXA10,1.888773242,0.05921386,,,,
FAM193B,0.477710072,0.017946623,,,,
FRG1JP,0.914476132,0.051441949,,,,
EPHA8,-3.729460894,0.050679553,,,,
ZNF487,0.822611729,0.045463479,,,,
