gene_name,logFC,P.Value,,,,
TNRC18,0.506470593,0.002447565,,,,
ALDH16A1,0.950994868,0.003865087,,,,
DROSHA,0.434677933,0.002633166,,,,
CABIN1,0.38494187,0.002534143,,,,
CREB3L2,1.035296915,0.002874579,,,,
PEA15,-0.504163521,0.002428579,,,,
ERI1,0.592659425,0.003589418,,,,
TOR1B,-0.471345657,0.00307301,,,,
APEH,0.49983127,0.002655754,,,,
SAMD10,-0.826025765,0.004464859,,,,
NAF1,0.684290416,0.004189793,,,,
AS3MT,0.831375656,0.00442911,,,,
SLC7A5,-0.903627142,0.002492969,,,,
TMEM260,0.520664745,0.003376303,,,,
MTIF3,0.536470601,0.003801757,,,,
CLMN,0.65058436,0.004095898,,,,
HAPLN3,1.48459203,0.006385158,,,,
OAT,0.49262314,0.002648708,,,,
DIAPH3,0.73064023,0.004969268,,,,
SDHC,0.527850397,0.002708621,,,,
NOCT,-0.598345913,0.004757525,,,,
NEBL,0.670337919,0.003025838,,,,
QARS1,0.562298838,0.002551945,,,,
NUP62CL,1.594225148,0.006304562,,,,
GPR26,-1.950934593,0.006507336,,,,
CDK15,-2.031847384,0.006206213,,,,
ZCCHC17,0.632202055,0.002805142,,,,
CHAF1B,0.827168093,0.004328027,,,,
EPHA5,-1.022113042,0.003198761,,,,
HIPK3,0.525451101,0.002758162,,,,
COMMD6,0.515177192,0.003075965,,,,
RIMS3,-0.873852481,0.002891007,,,,
LINC00888,0.848158491,0.0054978,,,,
ANKRD20A5P,-3.323450761,0.003710922,,,,
PHPT1,0.535671051,0.002860256,,,,
MSRB1,0.835931557,0.004621859,,,,
CEP290,1.631762507,0.003985993,,,,
FAM72C,2.192218398,0.006257386,,,,
TRIP12,0.462355829,0.002473235,,,,
HSD17B10,0.711178126,0.003276606,,,,
EGR1,1.243634703,0.003980099,,,,
FZD6,1.364701637,0.004874459,,,,
FAM81A,-1.547969366,0.006652072,,,,
AKAP14,2.499315205,0.005139127,,,,
AZIN2,-0.754869293,0.004335688,,,,
HSD17B11,0.711180649,0.004011571,,,,
MYG1,0.554221481,0.00351006,,,,
CLEC18A,2.7253825,0.006814833,,,,
NUDCD2,0.587226155,0.00366516,,,,
RGPD2,-1.998007551,0.005121489,,,,
SH3BP1,1.313442957,0.005342374,,,,
WDR27,0.645482596,0.003364909,,,,
C11orf98,0.82717657,0.003511748,,,,
H4C8,-1.660113351,0.00682935,,,,
DCTD,0.461609535,0.003012859,,,,
USP18,1.735264519,0.006851007,,,,
CTDSPL2,0.431802901,0.002976639,,,,
PSMA5,0.551268929,0.002845638,,,,
COL19A1,1.873658195,0.006839957,,,,
TRAPPC13P1,-1.706862204,0.006743327,,,,
INPP5D,-1.202571425,0.00571539,,,,
NUDT6,0.927756534,0.005937031,,,,
WDR17,-1.223987882,0.004089639,,,,
POLR2F,0.647875311,0.003375224,,,,
SLCO1C1,2.892339397,0.004966677,,,,
AGRN,-0.742058315,0.002509997,,,,
MRPL2,0.616415791,0.004102284,,,,
COX6C,0.547520886,0.002992103,,,,
MASP1,-1.520806172,0.00543183,,,,
NFKBIA,0.892945379,0.004229726,,,,
CENPV,-0.848833685,0.003500917,,,,
GOLGA4,1.290015428,0.0031871,,,,
TEX264,0.611006502,0.004107683,,,,
CYP46A1,-0.807198388,0.004691874,,,,
PCYT1B,1.142366945,0.00440855,,,,
OAS2,3.088531326,0.007002698,,,,
EIF3I,0.489279331,0.002734152,,,,
TMEM208,0.642195848,0.004144473,,,,
KATNAL2,0.970316447,0.005607788,,,,
GEM,1.156130671,0.006261415,,,,
COPS9,0.674150061,0.00388615,,,,
STK11IP,0.560663583,0.004071112,,,,
BLACAT1,-1.127479084,0.005072272,,,,
CAV1,2.248415118,0.007022108,,,,
SLC35D1,0.467132656,0.00354608,,,,
ILK,0.573350959,0.00297127,,,,
HMGCL,0.64055844,0.003833508,,,,
ARHGAP33,-0.662695667,0.003363224,,,,
AMZ2,0.5128538,0.002963544,,,,
TPCN2,0.685672077,0.005168415,,,,
COBLL1,1.456100261,0.004950509,,,,
ITM2B,0.465948321,0.002631911,,,,
,1.046445782,0.006721508,,,,
TONSL,0.651607882,0.004212912,,,,
KIF24,0.959158125,0.005650844,,,,
NUMA1,0.360699648,0.002630343,,,,
TMEFF1,-1.163098408,0.003307867,,,,
CROT,0.901745345,0.004745442,,,,
ZDHHC11,1.250913055,0.006432697,,,,
KBTBD6,-0.522091773,0.003293795,,,,
ZC3H18,0.4470327,0.002975664,,,,
CALCR,3.764476524,0.004836233,,,,
CSMD1,1.102084242,0.005888874,,,,
KLF3,0.465720001,0.003104478,,,,
COL6A1,-1.154518016,0.0027192,,,,
PKD1L2,1.229393281,0.00738801,,,,
VPS25,0.674425363,0.003249077,,,,
FUT1,-1.831076792,0.007354205,,,,
C7,5.977932368,0.007347166,,,,
RAB3B,-0.734745349,0.002809077,,,,
DNAJC1,0.524039821,0.003043243,,,,
TOM1,0.480734106,0.003519017,,,,
PYCR2,0.493799859,0.003351199,,,,
PRPH,-1.027955839,0.003349788,,,,
TGDS,0.625176144,0.005337601,,,,
UBA7,1.761291526,0.007379888,,,,
ANAPC5,0.364335106,0.0028862,,,,
FRMD8,1.08987675,0.0048486,,,,
PPP3CA,-0.482798446,0.00303024,,,,
PMF1,0.691080481,0.003847962,,,,
MED18,0.71113983,0.006398324,,,,
ZNF818P,1.360530047,0.007049501,,,,
NMT1,0.392264444,0.002881241,,,,
WDR76,0.968378126,0.006140726,,,,
PPP1R9B,-0.686168361,0.002911682,,,,
ATF7IP2,1.032558433,0.005955119,,,,
SLC25A3,0.476300997,0.002706109,,,,
CERK,0.410170512,0.002917454,,,,
CTTNBP2NL,-0.435588486,0.003053246,,,,
RARG,2.408337053,0.00709962,,,,
SLCO2B1,-1.9956811,0.007620615,,,,
DDR1,-1.240352026,0.003600489,,,,
ELAC2,0.672099323,0.003200128,,,,
FPGT,0.760870472,0.005223336,,,,
SPEF2,1.202824787,0.005691749,,,,
RBP1,1.234657291,0.003744441,,,,
CBX2,0.653329186,0.004366264,,,,
ENC1,-1.222307291,0.002930975,,,,
NNT,0.37805009,0.003009831,,,,
AHCYL1,0.426496194,0.002885479,,,,
CFAP298,0.612752559,0.003703536,,,,
RCC1L,0.551693653,0.003708581,,,,
SNX10,-0.709001309,0.004079565,,,,
AATF,0.588748178,0.003390932,,,,
PRMT2,0.370486161,0.002924912,,,,
FZD5,0.892031698,0.0043505,,,,
NCS1,-0.558897624,0.002938332,,,,
INSRR,3.102792532,0.005849799,,,,
HLA-DPB1,3.597660364,0.005707266,,,,
HNRNPM,0.942762225,0.002874886,,,,
,2.283833355,0.00708411,,,,
NLGN4Y,-1.924069172,0.005900426,,,,
SPATA20,0.788473597,0.004193787,,,,
FAM131A,-0.677018706,0.003683955,,,,
CYP4F25P,3.539185675,0.006311967,,,,
NHSL1,0.449407672,0.003303301,,,,
CCDC97,0.580481835,0.003815904,,,,
PRDM1,2.628351497,0.007799257,,,,
EXOSC9,0.609288087,0.003744659,,,,
CEP112,0.952486927,0.006146909,,,,
ZFY,-2.160181951,0.007692434,,,,
SOWAHC,0.583034962,0.004131234,,,,
ANKRD20A1,1.540919277,0.007922842,,,,
HS1BP3,0.623108557,0.00431777,,,,
HLA-DOA,6.052895854,0.004133572,,,,
ARHGEF1,0.701848075,0.004090737,,,,
APH1A,0.4385067,0.003103938,,,,
DNAH11,1.795545323,0.007994699,,,,
MNAT1,0.538423821,0.004531546,,,,
SVBP,0.569523703,0.004798208,,,,
SLC7A8,2.043130248,0.004926387,,,,
PCNX1,-0.536353349,0.003041288,,,,
TSR2,0.429558353,0.003492137,,,,
PRELID1,0.752063906,0.00359641,,,,
IRS4,1.06436785,0.006051439,,,,
CIBAR2,2.690764498,0.005740713,,,,
EFCAB11,1.093432289,0.006345917,,,,
WFIKKN2,3.881720607,0.005258543,,,,
POU5F1,-4.354805708,0.006947431,,,,
SEC24D,0.94528223,0.00383754,,,,
GM2A,0.510077916,0.003867025,,,,
CCDC170,2.583789506,0.007719938,,,,
SNRPF,0.701920899,0.004189367,,,,
LRRC37A17P,0.787311016,0.006084229,,,,
CHPT1,0.599952403,0.004381619,,,,
KYNU,1.537802054,0.006317443,,,,
LPAR4,1.282284315,0.006746867,,,,
HSD17B1,0.623089428,0.004448462,,,,
SOX4,-0.622420637,0.002883909,,,,
NPHP1,0.747508328,0.006098042,,,,
SDHAP2,-1.133363822,0.008268773,,,,
SLC25A10,0.727458852,0.005555711,,,,
TMEM154,2.135362859,0.007930483,,,,
DDOST,0.444902142,0.002986485,,,,
C1QTNF5,2.193061526,0.008285742,,,,
SAMD9L,3.096500265,0.005183184,,,,
,1.349940952,0.008202649,,,,
NDUFC1,0.65092078,0.004327766,,,,
FH,0.571026865,0.003386831,,,,
TFPI,0.783818371,0.00419091,,,,
SSNA1,0.7335184,0.004375776,,,,
MAP1LC3C,2.085594334,0.008448271,,,,
MMP13,3.978420264,0.004437081,,,,
KNTC1,0.690769562,0.004172427,,,,
ILDR2,-1.08471469,0.003939992,,,,
SANBR,-0.617029335,0.004481945,,,,
MED16,0.503666491,0.003634239,,,,
SLC6A5,-3.318933547,0.007388139,,,,
POLD2,0.476091572,0.003455875,,,,
RRP15,0.677597899,0.004447701,,,,
RILPL2,0.905006832,0.007275188,,,,
METTL3,0.457251495,0.00372416,,,,
CFAP206,1.746971073,0.008443407,,,,
MRPS28,0.905866762,0.005271549,,,,
KRI1,0.575921313,0.004035303,,,,
GABRA3,-0.816691581,0.004189423,,,,
GLIS1,4.139967459,0.005741096,,,,
C9orf78,0.485844564,0.003735001,,,,
SAT2,0.556379413,0.003875899,,,,
CLCA2,-3.932910123,0.004259292,,,,
SRA1,0.517016209,0.004094352,,,,
METTL21A,0.639674986,0.005806621,,,,
ARHGEF2,-0.653932823,0.003327979,,,,
ANGPT1,1.38421237,0.00726053,,,,
BEND3P3,-0.833742509,0.006800285,,,,
CHST11,0.57174035,0.003629941,,,,
TUBB3,-0.725214612,0.003015073,,,,
CHCHD1,0.649838918,0.005104849,,,,
SRXN1,-0.597824905,0.004733687,,,,
PDE5A,0.636872928,0.0052646,,,,
IK,0.506844657,0.00326469,,,,
TRIM3,-0.558306799,0.004244638,,,,
MYH8,7.073283715,0.008266881,,,,
PTGFR,-1.372133528,0.008110585,,,,
C1orf131,0.767437263,0.005796075,,,,
TMEM179B,0.754115222,0.00549913,,,,
PNPLA2,0.58053504,0.004386693,,,,
HNRNPK,0.469174922,0.002989431,,,,
IFIH1,3.427157061,0.007945044,,,,
KLK4,-2.777503886,0.0074104,,,,
SLC7A2,1.534508203,0.005549185,,,,
NUDT17,1.31758391,0.008716848,,,,
UBB,0.506701317,0.003018275,,,,
TREM1,5.727838809,0.006350229,,,,
KIAA0513,-0.495300824,0.003730137,,,,
,2.483737542,0.007418854,,,,
HSPB8,1.638958958,0.008141912,,,,
SLC10A3,0.907630267,0.006194941,,,,
STX18,0.505329643,0.004125531,,,,
DNALI1,0.695296839,0.004347845,,,,
NCL,0.516835122,0.003022867,,,,
AGPAT2,0.924272952,0.006560691,,,,
ARSB,0.528872033,0.004060809,,,,
KLHL23,-0.756199279,0.004138989,,,,
TST,0.757849422,0.006831305,,,,
HSPA13,-0.536138013,0.003273333,,,,
USP28,0.620949129,0.004289295,,,,
,0.711180707,0.003917644,,,,
RFC1,0.628877245,0.003643594,,,,
TRIM5,0.633176379,0.004925698,,,,
EI24,0.569193065,0.003407377,,,,
FLI1,3.2056616,0.008977119,,,,
UNC50,0.449413949,0.004157255,,,,
CER1,5.392924031,0.008948957,,,,
MCHR1,1.923122021,0.007538277,,,,
TEAD1,0.453161313,0.003315655,,,,
PPCS,0.662522474,0.00467251,,,,
CPT2,0.534604188,0.004557835,,,,
FCGRT,1.024316895,0.006108173,,,,
WDR5,0.39869384,0.003909936,,,,
SLC22A20P,-1.429400344,0.009039631,,,,
CCNA1,-0.703023056,0.00704537,,,,
ZNF532,-0.50713394,0.003295101,,,,
NUFIP2,0.519632512,0.003376184,,,,
HECW1,-0.979213797,0.00601048,,,,
GPRASP2,0.547668125,0.003873544,,,,
ST6GALNAC2,3.364230815,0.00630117,,,,
MT-ND3,0.682637829,0.003195531,,,,
SLC35A4,0.542388122,0.004004417,,,,
ZNF619,0.96104256,0.008609755,,,,
CWF19L2,0.941048763,0.006121951,,,,
CYTH1,-0.487498582,0.004007994,,,,
TRIM38,2.734835854,0.0089373,,,,
TCTN3,0.489594254,0.00383173,,,,
HNRNPA2B1,0.461325507,0.00313146,,,,
CEP128,0.879227927,0.007585853,,,,
ETS2,0.826698142,0.004413103,,,,
RNF43,2.506000075,0.009455809,,,,
PNMA2,-0.745862094,0.003804568,,,,
CEMIP2,0.403815145,0.003426315,,,,
CAPN5,0.566886256,0.003914614,,,,
TMEM145,-1.407566891,0.006538913,,,,
STAG3,-0.497442428,0.003942966,,,,
GNPDA1,0.719971306,0.004203465,,,,
AGFG2,0.74378515,0.007560259,,,,
GAA,0.574496956,0.003798523,,,,
EFTUD2,0.541345115,0.003557627,,,,
GTF2E1,0.614410842,0.004968146,,,,
RBX1,0.600811225,0.004271857,,,,
ERI2,0.565250658,0.005814925,,,,
R3HDM1,-0.505370209,0.003897494,,,,
PPARD,0.543544613,0.004596981,,,,
AP2S1,0.487941343,0.003893808,,,,
TRPC5,-2.324264794,0.009724484,,,,
METRN,0.771168152,0.004239781,,,,
SLC7A11,-1.000253149,0.004704456,,,,
BRMS1,0.68438742,0.00485315,,,,
PMFBP1,-1.16728111,0.007830598,,,,
LRRC25,2.873238731,0.00716177,,,,
PCDHGC4,-1.55608812,0.0055472,,,,
NONO,0.349637225,0.003291693,,,,
TYK2,0.539481109,0.004296278,,,,
NFKBIB,0.820065287,0.007604759,,,,
PLEKHF1,1.414789885,0.009546359,,,,
PRMT9,0.574991956,0.005590138,,,,
DNPH1,0.854144925,0.006992544,,,,
CACNB4,-1.547091658,0.00574976,,,,
HMGCS1,-0.659526715,0.003410928,,,,
PCDHB17P,-2.798548432,0.008939057,,,,
RPSAP44,-1.964770227,0.009872197,,,,
CAMTA2,-0.487784652,0.004419983,,,,
GPR45,-1.5006737,0.009651448,,,,
UBD,5.650119815,0.004071678,,,,
TRUB2,0.660273602,0.004720326,,,,
RASSF9,3.345224856,0.007699716,,,,
MARCHF7,0.476903992,0.003715759,,,,
LRWD1,0.504579608,0.00467778,,,,
ANKRD20A2P,4.20611535,0.009025086,,,,
SLC8A3,-1.011755662,0.00700025,,,,
MCRIP1,0.572586601,0.004399393,,,,
ACER2,-0.767716134,0.007219267,,,,
ACVR1B,-0.526647828,0.003674977,,,,
ESF1,1.012965992,0.006274073,,,,
SGK1,1.737914904,0.007012414,,,,
CORO1C,-0.448238944,0.003484552,,,,
SULT1C2,2.35344857,0.010115668,,,,
APOBEC2,3.059255824,0.006768769,,,,
ZNF526,0.536895652,0.005691763,,,,
SPTAN1,-0.362451411,0.003286714,,,,
TTLL12,0.513040103,0.004561522,,,,
SNRPB,0.629543886,0.003779907,,,,
KATNA1,0.657729304,0.005932167,,,,
ABCC9,1.327335325,0.008766816,,,,
NPL,1.245589312,0.009451072,,,,
NSRP1,0.823131025,0.005224051,,,,
ANKH,0.444448573,0.004204019,,,,
RSAD1,0.520151593,0.005198264,,,,
LIPG,-0.937004148,0.005022367,,,,
N4BP2,0.762460962,0.005426187,,,,
ARFGAP3,0.429259419,0.004130292,,,,
LCMT1,0.463943317,0.004441067,,,,
CLUAP1,0.556402022,0.005013756,,,,
ROBO3,-1.506771272,0.006596866,,,,
BRD8,0.534931407,0.004035607,,,,
KHDC1,1.065178487,0.009618302,,,,
TFAP2A,1.509016582,0.006599276,,,,
SIVA1,0.562285128,0.00519774,,,,
SPRN,-1.379920398,0.008357908,,,,
PORCN,-0.673528949,0.006091322,,,,
SPTSSA,0.559475888,0.004258852,,,,
DHFR,0.590043644,0.004148251,,,,
,-1.881890436,0.010514837,,,,
GOLGA6L5P,-1.199080403,0.00848683,,,,
C5orf46,4.168593362,0.008212359,,,,
CSPG4,1.888309036,0.008537099,,,,
SV2A,-0.5888525,0.003763538,,,,
MIF,0.591784442,0.003709766,,,,
MSX2,2.536571434,0.008359097,,,,
RBM17,0.350854135,0.004084175,,,,
FAT2,-1.174421765,0.008763324,,,,
CAMKV,1.158246396,0.007549124,,,,
VGLL4,0.586306487,0.004109838,,,,
USP32P3,-1.841169823,0.010633934,,,,
SEZ6,-0.923835541,0.008305476,,,,
ZNF600,1.287292507,0.009967094,,,,
ARSG,0.68689853,0.005865277,,,,
CFAP126,0.50045071,0.006689882,,,,
PHB1,0.767483841,0.004021079,,,,
EXT1,-0.456491396,0.004008959,,,,
ERO1A,-0.700869537,0.004034983,,,,
THA1P,2.572606514,0.009183521,,,,
ELAPOR1,-0.70079681,0.007113065,,,,
SH2D5,-1.188656606,0.009250524,,,,
TJP1,1.067552079,0.00530424,,,,
SPOCD1,2.451358329,0.010635663,,,,
PPP1R16B,1.580998438,0.009308483,,,,
ZNF668,-0.498952615,0.006443318,,,,
TAF1B,0.636904555,0.006292499,,,,
ARHGAP42,0.892934132,0.006931129,,,,
CDAN1,0.491728201,0.005556244,,,,
POLR2L,0.641098698,0.005029613,,,,
MYO5C,1.687058052,0.009518624,,,,
TMPRSS5,1.327943205,0.010883951,,,,
EPHB6,-1.287984615,0.007531293,,,,
PAQR6,0.856557879,0.007793134,,,,
DEPP1,1.090707846,0.008091706,,,,
PCP4L1,1.820495589,0.010945176,,,,
SERPINB6,0.625236523,0.005188762,,,,
ANKRD35,-1.579935126,0.010526832,,,,
RIN2,0.587739643,0.005820726,,,,
TPD52,-0.773809644,0.004374067,,,,
LRRTM4,1.66271528,0.007451831,,,,
VPS9D1,-0.606376256,0.005687197,,,,
GLRX2,0.617226159,0.006400562,,,,
DENND6B,-0.715015219,0.005641793,,,,
PEPD,0.626911409,0.004718616,,,,
FMNL2,0.646627598,0.003920644,,,,
XPO1,0.408642236,0.003731111,,,,
POLD1,0.673691498,0.00520696,,,,
KIFBP,0.639479663,0.00427075,,,,
CDKN1C,1.489502978,0.007156926,,,,
GAS2,1.07982732,0.009869229,,,,
CPA4,3.009352195,0.011109662,,,,
SVIP,-0.707038172,0.005092768,,,,
SLC19A2,-0.930201955,0.005151339,,,,
PALM3,1.17208398,0.010698528,,,,
KIF17,1.141200361,0.00888197,,,,
PDE7B,3.999087437,0.011284924,,,,
CRACDL,-2.084255372,0.011163047,,,,
CFH,3.050580208,0.01114045,,,,
RUNX1,2.786118349,0.010335723,,,,
RNFT1,0.786351314,0.007144627,,,,
POC1B,0.679664285,0.006645681,,,,
CFAP46,1.280217313,0.009804901,,,,
CLDN14,3.816464252,0.006885327,,,,
NDUFAF1,0.827194185,0.006136096,,,,
ACACA,-0.860612817,0.004110047,,,,
WASH9P,0.740268479,0.007150725,,,,
FUT8,0.685178412,0.004310698,,,,
MRPL11,0.677437596,0.005829034,,,,
STK26,0.579852186,0.004997451,,,,
APPL2,0.479570071,0.004779881,,,,
MRPL49,0.447380455,0.004697838,,,,
WDR61,0.655143325,0.004855769,,,,
ARF5,0.405547766,0.004116074,,,,
ADAMTSL1,0.846151082,0.007711896,,,,
TAGLN2,1.048214135,0.005784881,,,,
ZNF282,0.508246237,0.004557122,,,,
CXorf38,0.452636957,0.00567685,,,,
IGFBP7,4.362813651,0.011246419,,,,
LAS1L,0.428248776,0.00458523,,,,
MGP,2.744558098,0.010955795,,,,
ADIRF,3.60936817,0.007330925,,,,
TYW1B,1.680047027,0.011016515,,,,
PIK3CB,0.587772202,0.005280297,,,,
CHRNB3,-1.476380577,0.011675818,,,,
FSTL1,0.895700872,0.003882828,,,,
CD8A,-1.554530477,0.011113001,,,,
OR52E4,-2.759578713,0.009614776,,,,
MAMDC2,4.204207295,0.011536791,,,,
MAPRE3,-0.523679349,0.004390814,,,,
ADAT2,-0.850542993,0.007857419,,,,
USP46,0.366566592,0.004481832,,,,
RCCD1,0.715831533,0.007778242,,,,
SKP2,0.673973855,0.005027553,,,,
AAMDC,1.042726909,0.008951615,,,,
ELAPOR2,-0.877604793,0.004344693,,,,
ENO2,-0.764249013,0.003913853,,,,
DAP,0.600048789,0.004342168,,,,
CAMK1D,-0.700773006,0.004782145,,,,
C1orf56,0.959177436,0.009900277,,,,
NTN3,-1.735721749,0.011652022,,,,
GGACT,1.180071893,0.010703607,,,,
ATAD2,0.884208952,0.005616093,,,,
PBK,1.608933068,0.009914667,,,,
PDIA5,0.665193165,0.006438624,,,,
BMS1,0.536329975,0.004406597,,,,
CERT1,0.556327634,0.004643717,,,,
SMOC1,-1.213401408,0.005572744,,,,
MRPL53,0.697834009,0.00703251,,,,
GPRC5A,2.058767954,0.011127203,,,,
RGS9,-0.812448694,0.007636566,,,,
PABIR1,0.608054045,0.006165193,,,,
MPP1,0.693678784,0.007268091,,,,
AGGF1,0.514359688,0.005200575,,,,
CPED1,2.92980714,0.011678818,,,,
PCDH15,2.205301549,0.0101414,,,,
KCNK5,4.580805642,0.011363992,,,,
NME1,0.545213308,0.004565394,,,,
AMER2,1.111788023,0.007926308,,,,
RPS6KB2,0.479229262,0.00564924,,,,
UFC1,0.517629858,0.004918066,,,,
SLC44A3-AS1,1.381036839,0.010592764,,,,
PTBP2,-0.606071027,0.004933359,,,,
RBM6,0.555759888,0.004366828,,,,
FBXO36,0.774691121,0.008970084,,,,
CEACAM1,1.979202804,0.011926658,,,,
C19orf48,0.449489119,0.00531798,,,,
MMACHC,0.729669022,0.008280722,,,,
PCDHA12,-0.600209519,0.005520404,,,,
LZTS3,-0.53872962,0.005018816,,,,
IGFBP5,1.509651474,0.004565138,,,,
PTPRK,1.052685585,0.005139104,,,,
CFTR,-2.507823189,0.012074648,,,,
CCR1,4.468828358,0.005279105,,,,
SV2C,1.190664273,0.005604876,,,,
LRRC36,-2.119365114,0.011455472,,,,
TBL2,0.482349973,0.004884148,,,,
MYL9,1.929907704,0.007902058,,,,
GBGT1,3.047074095,0.011664593,,,,
SUMO3,0.358886002,0.004490304,,,,
KIF15,0.979984478,0.010147986,,,,
LAMP2,0.415634345,0.004223442,,,,
ATP5MJ,0.523809374,0.005105048,,,,
MAGOHB,0.609648274,0.006861765,,,,
SPTLC3,1.259264399,0.010456895,,,,
SIRT3,0.507234368,0.006028344,,,,
RASL11A,1.498232461,0.012325649,,,,
MRPL12,0.611215947,0.005501483,,,,
LRRN3,1.079718209,0.009226076,,,,
WDR83OS,0.534481195,0.00529661,,,,
FDPS,-0.508623098,0.004417408,,,,
S100A6,2.370041316,0.012402481,,,,
MLPH,1.824896523,0.01236397,,,,
WBP11P1,-2.072700885,0.01204097,,,,
BEND7,-0.824144732,0.006229792,,,,
NMRK1,0.78256742,0.0086646,,,,
PRRC2B,-0.445078073,0.003949486,,,,
NRAS,0.432663533,0.004410676,,,,
NIBAN2,0.610675361,0.004716707,,,,
CDC25A,0.626476898,0.006962966,,,,
RND1,-0.967181535,0.009311743,,,,
DDX58,2.663738141,0.00963416,,,,
SELL,3.261351128,0.007165512,,,,
ZNF483,0.783676038,0.007261735,,,,
SCN1A,-1.329830374,0.010101539,,,,
TRIM6,2.734418007,0.012613632,,,,
ZNF778,-0.560773645,0.005530662,,,,
SS18,0.399378458,0.004652202,,,,
NUP153,0.45332192,0.004604291,,,,
NUCB1,0.492053593,0.004319166,,,,
ATP1B3,0.56375524,0.004519485,,,,
PINK1,-0.359552108,0.004547222,,,,
SMCO4,1.113530948,0.011786062,,,,
SBNO1,0.491222182,0.004698457,,,,
PCCA,0.526001271,0.005976445,,,,
SNAP91,-0.758934106,0.005911114,,,,
SLAMF8,-6.90978952,0.005314382,,,,
UBAP2L,0.363671527,0.004256074,,,,
ERVMER34-1,1.14484837,0.011393324,,,,
SUPT4H1,0.499527114,0.005078504,,,,
MATN1,3.305434278,0.0126419,,,,
RARRES1,2.978046326,0.011883258,,,,
TAF4B,1.143232679,0.012018592,,,,
LRIG1,-0.71537053,0.004480276,,,,
ELOF1,0.549944967,0.005621319,,,,
TRIM45,0.770696418,0.008181196,,,,
FBXO45,-0.64140035,0.005730856,,,,
PLEKHG3,0.743648884,0.006087736,,,,
TARDBP,0.408836423,0.004365875,,,,
HOXA2,2.483248624,0.012860389,,,,
GREB1L,-0.605831694,0.005093437,,,,
DDX19A,0.458610024,0.004936759,,,,
HEXD,0.58824314,0.00797963,,,,
LMTK3,-0.884783938,0.005780672,,,,
IGFBP6,3.031191699,0.012303317,,,,
TGM2,3.695900759,0.011895391,,,,
CDC40,0.436156093,0.005756072,,,,
SLK,0.739151219,0.00519593,,,,
KDM4B,-0.485368664,0.004519314,,,,
ZNF169,-0.84977537,0.010105383,,,,
ADD2,-1.081525276,0.004907202,,,,
ZIC3,0.876394942,0.007919798,,,,
VWA3B,2.994298826,0.011138752,,,,
GMNC,2.805573848,0.008586384,,,,
ITPR2,2.193162097,0.010251013,,,,
SDAD1,0.491336263,0.005306126,,,,
PURB,0.543452958,0.004892847,,,,
CELF6,-1.549873291,0.009074003,,,,
FHIP1A,1.602058278,0.011380308,,,,
COMMD1,0.566420654,0.007757034,,,,
FIS1,0.51841598,0.005132726,,,,
DYRK1A,0.417127733,0.005009841,,,,
SLC17A8,2.790952113,0.012999208,,,,
PRDX4,0.541185686,0.005122885,,,,
ADCY6,-0.58278528,0.004707397,,,,
FAM181A,1.966472194,0.012831267,,,,
PPP1R17,1.348538439,0.010742505,,,,
MAP2K5,0.555020664,0.00616795,,,,
FCHO2,0.758951502,0.007811446,,,,
TCOF1,0.439595843,0.004792674,,,,
KIAA1755,4.647822222,0.012116865,,,,
EBNA1BP2,0.666565336,0.005391983,,,,
MYCBP,0.836769129,0.008452699,,,,
PRKXP1,-2.732187558,0.010678776,,,,
PCMTD2,0.588419777,0.005476385,,,,
TTI1,0.456545096,0.005693905,,,,
LPO,-2.041308838,0.013501943,,,,
PDE4C,-2.078453277,0.01182806,,,,
MRPL13,0.789623507,0.006566936,,,,
MMRN1,1.7056546,0.012262438,,,,
MSTO1,0.475909392,0.006145288,,,,
FOXP1,0.649394007,0.005717175,,,,
RPS27L,0.679092288,0.004908817,,,,
VAT1L,1.021459757,0.005713057,,,,
ASTN1,1.020156176,0.006557207,,,,
SRI,0.770518661,0.005161753,,,,
VSIR,2.631997709,0.013731854,,,,
SLC9A6,-0.406801489,0.00511967,,,,
KITLG,1.009697109,0.006267803,,,,
MMS22L,0.485100777,0.007400688,,,,
ERMN,3.974299683,0.009043259,,,,
MLLT11,-0.704148388,0.004605974,,,,
SERINC3,-0.336837308,0.004647235,,,,
IDI1,-0.462555452,0.004862513,,,,
PPME1,-0.427685667,0.004886724,,,,
PPARGC1A,0.966160811,0.010809275,,,,
GZF1,0.542155828,0.00564728,,,,
TLE4,0.733152916,0.005093179,,,,
ERVFRD-1,3.078506526,0.011608544,,,,
CCN1,1.129740239,0.006316034,,,,
CFAP300,2.033128529,0.012633589,,,,
KCNJ5,-1.564145201,0.013729971,,,,
ZNF804B,-2.534338999,0.012283926,,,,
KLHL18,-0.388034956,0.005722469,,,,
ECM1,-1.46080909,0.010368395,,,,
C2CD2,0.581721273,0.006851634,,,,
PPP2R5C,0.361035647,0.004785716,,,,
CALM2,-0.507898331,0.004342151,,,,
NECAP1,-0.362600649,0.00516468,,,,
TIMM21,0.614929845,0.006762464,,,,
KCTD11,-0.781632365,0.007319312,,,,
PGLS,0.553689628,0.005988561,,,,
FILIP1,0.787896433,0.010369227,,,,
DHRSX,0.628771011,0.007194157,,,,
EMD,0.479982542,0.005379968,,,,
SNX1,0.487092148,0.004838356,,,,
,1.72820103,0.013719579,,,,
CD302,2.947014265,0.013994987,,,,
CFC1,2.61944717,0.01405218,,,,
NUP54,0.443030786,0.005866079,,,,
